0,1,2,3,4,5,6
0,1,1,0,0,474,523
1,1,1,0,0,474,522
2,1,1,0,0,474,521
3,1,1,0,0,476,523
4,1,1,0,0,478,521
5,1,1,0,0,479,523
6,1,1,0,0,481,524
7,1,1,0,0,484,522
8,1,1,0,0,486,522
9,1,1,0,0,488,523
10,1,1,0,0,491,526
11,1,1,0,0,492,524
12,1,1,0,0,493,523
13,1,1,0,0,494,521
14,1,1,0,0,495,524
15,1,1,0,0,496,525
0,1,1,0,0,495,526
1,1,1,0,0,493,525
2,1,1,0,0,490,526
3,1,1,0,0,488,524
4,1,1,0,0,486,526
5,1,1,0,0,483,525
6,1,1,0,0,481,529
7,1,1,0,0,480,523
8,1,1,0,0,481,527
9,1,1,0,0,483,529
10,1,1,0,0,484,526
11,1,1,0,0,485,525
12,1,1,0,0,487,523
13,1,1,0,0,489,525
14,1,1,0,0,490,527
15,1,1,0,0,492,527
0,1,1,0,0,492,526
1,1,1,0,0,494,524
2,1,1,0,0,496,526
3,1,1,0,0,497,528
4,1,1,0,0,499,527
5,1,1,0,0,500,526
6,1,1,0,0,501,529
7,1,1,0,0,502,527
8,1,1,0,0,502,528
9,1,1,0,0,502,527
10,1,1,0,0,502,525
11,1,1,0,0,502,523
12,1,1,0,0,502,525
13,1,1,0,0,503,526
14,1,1,0,0,502,526
15,1,1,0,0,502,525
0,1,1,0,0,502,526
1,1,1,0,0,504,524
2,1,1,0,0,505,526
3,1,1,0,0,505,526
4,1,1,0,0,507,526
5,1,1,0,0,509,526
6,1,1,0,0,512,524
7,1,1,0,0,514,526
8,1,1,0,0,515,524
9,1,1,0,0,513,523
10,1,1,0,0,509,523
11,1,1,0,0,507,521
12,1,1,0,0,505,521
13,1,1,0,0,502,521
14,1,1,0,0,499,521
15,1,1,0,0,497,522
0,1,1,0,0,496,520
1,1,1,0,0,497,521
2,1,1,0,0,497,521
3,1,1,0,0,497,520
4,1,1,0,0,497,521
5,1,1,0,0,497,519
6,1,1,0,0,497,522
7,1,1,0,0,497,520
8,1,1,0,0,498,518
9,1,1,0,0,499,519
10,1,1,0,0,500,517
11,1,1,0,0,500,519
12,1,1,0,0,501,515
13,1,1,0,0,500,519
14,1,1,0,0,500,513
15,1,1,0,0,502,519
0,1,1,0,0,502,517
1,1,1,0,0,503,515
