0,1,2,3,4,5,6
0,1,1,0,0,568,512
1,1,1,0,0,568,511
2,1,1,0,0,571,512
3,1,1,0,0,573,512
4,1,1,0,0,575,512
5,1,1,0,0,575,513
6,1,1,0,0,576,513
7,1,1,0,0,576,512
8,1,1,0,0,574,514
9,1,1,0,0,572,514
10,1,1,0,0,566,513
11,1,1,0,0,559,515
12,1,1,0,0,552,515
13,1,1,0,0,546,514
14,1,1,0,0,541,515
15,1,1,0,0,537,514
0,1,1,0,0,533,515
1,1,1,0,0,528,516
2,1,1,0,0,527,516
3,1,1,0,0,527,517
4,1,1,0,0,523,516
5,1,1,0,0,513,515
6,1,1,0,0,496,519
7,1,1,0,0,469,515
8,1,1,0,0,434,519
9,1,1,0,0,396,515
10,1,1,0,0,359,516
11,1,1,0,0,330,517
12,1,1,0,0,308,516
13,1,1,0,0,295,516
14,1,1,0,0,287,515
15,1,1,0,0,281,517
0,1,1,0,0,272,518
1,1,1,0,0,259,517
2,1,1,0,0,250,518
3,1,1,0,0,249,518
4,1,1,0,0,255,518
5,1,1,0,0,264,518
6,1,1,0,0,275,519
7,1,1,0,0,288,518
8,1,1,0,0,302,516
9,1,1,0,0,319,516
10,1,1,0,0,335,520
11,1,1,0,0,355,515
12,1,1,0,0,376,519
13,1,1,0,0,398,516
14,1,1,0,0,419,519
15,1,1,0,0,438,516
0,1,1,0,0,456,520
1,1,1,0,0,472,518
2,1,1,0,0,486,517
3,1,1,0,0,499,518
4,1,1,0,0,511,518
5,1,1,0,0,521,518
6,1,1,0,0,531,518
7,1,1,0,0,539,519
8,1,1,0,0,545,518
9,1,1,0,0,550,516
10,1,1,0,0,553,520
11,1,1,0,0,556,517
12,1,1,0,0,558,516
13,1,1,0,0,559,518
14,1,1,0,0,560,518
15,1,1,0,0,560,518
0,1,1,0,0,560,517
1,1,1,0,0,561,519
2,1,1,0,0,560,518
3,1,1,0,0,560,516
4,1,1,0,0,559,520
5,1,1,0,0,558,518
6,1,1,0,0,558,520
7,1,1,0,0,557,519
8,1,1,0,0,556,516
9,1,1,0,0,556,518
10,1,1,0,0,555,516
11,1,1,0,0,554,516
12,1,1,0,0,554,517
13,1,1,0,0,553,517
14,1,1,0,0,552,517
15,1,1,0,0,551,517
0,1,1,0,0,551,515
1,1,1,0,0,551,516
2,1,1,0,0,551,516
3,1,1,0,0,552,517
4,1,1,0,0,554,516
5,1,1,0,0,555,515
6,1,1,0,0,554,515
7,1,1,0,0,553,519
8,1,1,0,0,552,513
9,1,1,0,0,552,518
10,1,1,0,0,553,513
11,1,1,0,0,553,515
12,1,1,0,0,552,515
13,1,1,0,0,551,515
14,1,1,0,0,551,514
15,1,1,0,0,552,515
0,1,1,0,0,552,514
1,1,1,0,0,551,515
2,1,1,0,0,551,515
3,1,1,0,0,550,514
4,1,1,0,0,550,515
5,1,1,0,0,551,514
6,1,1,0,0,551,515
7,1,1,0,0,550,513
8,1,1,0,0,550,512
9,1,1,0,0,551,512
10,1,1,0,0,551,514
11,1,1,0,0,551,512
12,1,1,0,0,551,511
13,1,1,0,0,551,511
14,1,1,0,0,551,511
15,1,1,0,0,551,511
0,1,1,0,0,551,511
1,1,1,0,0,551,511
2,1,1,0,0,551,511
3,1,1,0,0,551,511
4,1,1,0,0,551,511
5,1,1,0,0,550,509
6,1,1,0,0,549,513
7,1,1,0,0,549,510
8,1,1,0,0,548,510
9,1,1,0,0,547,511
10,1,1,0,0,546,510
11,1,1,0,0,545,509
12,1,1,0,0,546,508
13,1,1,0,0,547,509
14,1,1,0,0,547,509
15,1,1,0,0,547,508
0,1,1,0,0,546,510
1,1,1,0,0,545,509
2,1,1,0,0,544,509
3,1,1,0,0,544,508
4,1,1,0,0,543,509
5,1,1,0,0,543,510
6,1,1,0,0,543,508
7,1,1,0,0,543,507
8,1,1,0,0,541,509
9,1,1,0,0,541,509
10,1,1,0,0,541,507
11,1,1,0,0,541,505
12,1,1,0,0,542,509
13,1,1,0,0,543,506
14,1,1,0,0,543,504
15,1,1,0,0,544,508
0,1,1,0,0,544,506
1,1,1,0,0,545,508
2,1,1,0,0,545,507
3,1,1,0,0,546,508
4,1,1,0,0,546,508
5,1,1,0,0,546,507
6,1,1,0,0,546,507
7,1,1,0,0,546,509
8,1,1,0,0,546,505
9,1,1,0,0,546,509
10,1,1,0,0,546,506
11,1,1,0,0,546,506
12,1,1,0,0,546,508
13,1,1,0,0,545,505
14,1,1,0,0,545,508
15,1,1,0,0,545,507
0,1,1,0,0,545,507
1,1,1,0,0,545,508
2,1,1,0,0,545,508
3,1,1,0,0,546,508
4,1,1,0,0,547,507
5,1,1,0,0,547,508
6,1,1,0,0,547,509
7,1,1,0,0,547,509
8,1,1,0,0,548,507
9,1,1,0,0,548,510
10,1,1,0,0,548,508
11,1,1,0,0,548,508
12,1,1,0,0,547,509
13,1,1,0,0,547,508
14,1,1,0,0,548,508
15,1,1,0,0,547,508
0,1,1,0,0,548,509
1,1,1,0,0,547,508
2,1,1,0,0,547,506
3,1,1,0,0,547,510
4,1,1,0,0,548,508
5,1,1,0,0,548,509
6,1,1,0,0,548,507
7,1,1,0,0,550,512
8,1,1,0,0,551,508
9,1,1,0,0,552,508
10,1,1,0,0,553,510
11,1,1,0,0,555,509
12,1,1,0,0,555,507
13,1,1,0,0,556,508
14,1,1,0,0,556,508
15,1,1,0,0,556,508
0,1,1,0,0,556,508
1,1,1,0,0,556,508
2,1,1,0,0,557,508
3,1,1,0,0,556,509
4,1,1,0,0,556,508
5,1,1,0,0,556,506
6,1,1,0,0,556,511
7,1,1,0,0,556,507
8,1,1,0,0,556,510
9,1,1,0,0,556,509
10,1,1,0,0,556,506
11,1,1,0,0,557,508
12,1,1,0,0,557,507
13,1,1,0,0,558,506
14,1,1,0,0,558,508
15,1,1,0,0,558,508
0,1,1,0,0,557,508
1,1,1,0,0,557,508
2,1,1,0,0,557,507
3,1,1,0,0,556,508
4,1,1,0,0,557,508
5,1,1,0,0,557,508
6,1,1,0,0,556,508
7,1,1,0,0,557,508
8,1,1,0,0,556,507
9,1,1,0,0,556,511
10,1,1,0,0,557,507
11,1,1,0,0,557,510
12,1,1,0,0,556,508
13,1,1,0,0,557,508
14,1,1,0,0,557,510
15,1,1,0,0,557,509
0,1,1,0,0,557,508
1,1,1,0,0,556,508
