0,1,2,3,4,5,6
0,1,1,0,0,439,0
1,1,1,0,0,439,0
2,1,1,0,0,438,0
3,1,1,0,0,436,0
4,1,1,0,0,435,0
5,1,1,0,0,435,0
6,1,1,0,0,435,0
7,1,1,0,0,437,0
8,1,1,0,0,441,0
9,1,1,0,0,444,0
10,1,1,0,0,447,0
11,1,1,0,0,451,0
12,1,1,0,0,453,0
13,1,1,0,0,453,0
14,1,1,0,0,452,0
15,1,1,0,0,451,0
0,1,1,0,0,450,0
1,1,1,0,0,447,0
2,1,1,0,0,443,0
3,1,1,0,0,437,0
4,1,1,0,0,431,0
5,1,1,0,0,425,0
6,1,1,0,0,419,0
7,1,1,0,0,412,0
8,1,1,0,0,406,0
9,1,1,0,0,402,0
10,1,1,0,0,401,0
11,1,1,0,0,403,0
12,1,1,0,0,408,0
13,1,1,0,0,413,0
14,1,1,0,0,421,0
15,1,1,0,0,429,0
0,1,1,0,0,436,0
1,1,1,0,0,443,0
2,1,1,0,0,443,0
3,1,1,0,0,441,0
4,1,1,0,0,437,0
5,1,1,0,0,434,0
6,1,1,0,0,431,0
7,1,1,0,0,430,0
8,1,1,0,0,427,0
9,1,1,0,0,423,0
10,1,1,0,0,417,0
11,1,1,0,0,411,0
12,1,1,0,0,405,0
13,1,1,0,0,400,0
14,1,1,0,0,396,0
15,1,1,0,0,393,0
0,1,1,0,0,390,0
1,1,1,0,0,390,0
2,1,1,0,0,389,0
3,1,1,0,0,390,0
4,1,1,0,0,391,0
5,1,1,0,0,390,0
6,1,1,0,0,390,0
7,1,1,0,0,388,0
8,1,1,0,0,386,0
9,1,1,0,0,382,0
10,1,1,0,0,376,0
11,1,1,0,0,371,0
12,1,1,0,0,365,0
13,1,1,0,0,359,0
14,1,1,0,0,357,0
15,1,1,0,0,356,0
0,1,1,0,0,359,0
1,1,1,0,0,363,0
2,1,1,0,0,367,0
3,1,1,0,0,371,0
4,1,1,0,0,376,0
5,1,1,0,0,380,0
6,1,1,0,0,384,0
7,1,1,0,0,387,0
8,1,1,0,0,390,0
9,1,1,0,0,391,0
10,1,1,0,0,395,0
11,1,1,0,0,399,0
12,1,1,0,0,403,0
13,1,1,0,0,407,0
14,1,1,0,0,411,0
15,1,1,0,0,414,0
0,1,1,0,0,417,0
1,1,1,0,0,420,0
2,1,1,0,0,423,0
3,1,1,0,0,427,0
4,1,1,0,0,427,0
5,1,1,0,0,427,0
6,1,1,0,0,427,0
7,1,1,0,0,427,0
8,1,1,0,0,430,0
9,1,1,0,0,434,0
10,1,1,0,0,438,0
11,1,1,0,0,441,0
12,1,1,0,0,443,0
13,1,1,0,0,443,0
14,1,1,0,0,442,0
15,1,1,0,0,439,0
0,1,1,0,0,437,0
1,1,1,0,0,440,0
2,1,1,0,0,442,0
3,1,1,0,0,444,0
4,1,1,0,0,447,0
5,1,1,0,0,449,0
6,1,1,0,0,451,0
7,1,1,0,0,451,0
8,1,1,0,0,452,0
9,1,1,0,0,452,0
10,1,1,0,0,452,0
11,1,1,0,0,451,0
12,1,1,0,0,450,0
13,1,1,0,0,448,0
14,1,1,0,0,448,0
15,1,1,0,0,448,0
0,1,1,0,0,448,0
1,1,1,0,0,447,0
2,1,1,0,0,448,0
3,1,1,0,0,448,0
4,1,1,0,0,448,0
5,1,1,0,0,450,0
6,1,1,0,0,451,0
7,1,1,0,0,451,0
8,1,1,0,0,450,0
9,1,1,0,0,448,0
10,1,1,0,0,444,0
11,1,1,0,0,440,0
12,1,1,0,0,438,0
13,1,1,0,0,436,0
14,1,1,0,0,435,0
15,1,1,0,0,435,0
0,1,1,0,0,436,0
1,1,1,0,0,439,0
2,1,1,0,0,440,0
3,1,1,0,0,443,0
4,1,1,0,0,448,0
5,1,1,0,0,454,0
6,1,1,0,0,460,0
7,1,1,0,0,464,0
8,1,1,0,0,467,0
9,1,1,0,0,470,0
10,1,1,0,0,471,0
11,1,1,0,0,469,0
12,1,1,0,0,468,0
13,1,1,0,0,465,0
14,1,1,0,0,461,0
15,1,1,0,0,455,0
0,1,1,0,0,450,0
1,1,1,0,0,449,0
2,1,1,0,0,449,0
3,1,1,0,0,451,0
4,1,1,0,0,454,0
5,1,1,0,0,458,0
6,1,1,0,0,464,0
7,1,1,0,0,472,0
8,1,1,0,0,483,0
9,1,1,0,0,493,0
10,1,1,0,0,502,0
11,1,1,0,0,510,0
12,1,1,0,0,518,0
13,1,1,0,0,527,0
14,1,1,0,0,534,0
15,1,1,0,0,541,0
0,1,1,0,0,546,0
1,1,1,0,0,553,0
2,1,1,0,0,559,0
3,1,1,0,0,566,0
4,1,1,0,0,571,0
5,1,1,0,0,575,0
6,1,1,0,0,579,0
7,1,1,0,0,579,0
8,1,1,0,0,580,0
9,1,1,0,0,581,0
10,1,1,0,0,581,0
11,1,1,0,0,582,0
12,1,1,0,0,583,0
13,1,1,0,0,583,0
14,1,1,0,0,583,0
15,1,1,0,0,584,0
0,1,1,0,0,587,0
1,1,1,0,0,589,0
2,1,1,0,0,590,0
3,1,1,0,0,589,0
4,1,1,0,0,586,0
5,1,1,0,0,579,0
6,1,1,0,0,572,0
7,1,1,0,0,567,0
8,1,1,0,0,561,0
9,1,1,0,0,558,0
10,1,1,0,0,555,0
11,1,1,0,0,552,0
12,1,1,0,0,550,0
13,1,1,0,0,548,0
14,1,1,0,0,550,0
15,1,1,0,0,554,0
0,1,1,0,0,560,0
1,1,1,0,0,566,0
2,1,1,0,0,571,0
3,1,1,0,0,573,0
4,1,1,0,0,575,0
5,1,1,0,0,577,0
6,1,1,0,0,577,0
7,1,1,0,0,572,0
8,1,1,0,0,563,0
9,1,1,0,0,553,0
10,1,1,0,0,540,0
11,1,1,0,0,528,0
12,1,1,0,0,518,0
13,1,1,0,0,510,0
14,1,1,0,0,502,0
15,1,1,0,0,498,0
0,1,1,0,0,497,0
1,1,1,0,0,499,0
2,1,1,0,0,505,0
3,1,1,0,0,512,0
4,1,1,0,0,518,0
5,1,1,0,0,526,0
6,1,1,0,0,534,0
7,1,1,0,0,542,0
8,1,1,0,0,547,0
9,1,1,0,0,552,0
10,1,1,0,0,556,0
11,1,1,0,0,560,0
12,1,1,0,0,563,0
13,1,1,0,0,564,0
14,1,1,0,0,563,0
15,1,1,0,0,560,0
0,1,1,0,0,560,0
1,1,1,0,0,561,0
2,1,1,0,0,563,0
3,1,1,0,0,563,0
4,1,1,0,0,564,0
5,1,1,0,0,565,0
6,1,1,0,0,564,0
7,1,1,0,0,565,0
8,1,1,0,0,567,0
9,1,1,0,0,568,0
10,1,1,0,0,570,0
11,1,1,0,0,571,0
12,1,1,0,0,571,0
13,1,1,0,0,572,0
14,1,1,0,0,572,0
15,1,1,0,0,571,0
0,1,1,0,0,571,0
1,1,1,0,0,571,0
2,1,1,0,0,571,0
3,1,1,0,0,572,0
4,1,1,0,0,574,0
5,1,1,0,0,576,0
6,1,1,0,0,577,0
7,1,1,0,0,580,0
8,1,1,0,0,584,0
9,1,1,0,0,587,0
10,1,1,0,0,589,0
11,1,1,0,0,592,0
12,1,1,0,0,594,0
13,1,1,0,0,595,0
14,1,1,0,0,596,0
15,1,1,0,0,594,0
0,1,1,0,0,591,0
1,1,1,0,0,588,0
2,1,1,0,0,582,0
3,1,1,0,0,577,0
4,1,1,0,0,574,0
5,1,1,0,0,572,0
6,1,1,0,0,570,0
7,1,1,0,0,568,0
8,1,1,0,0,568,0
9,1,1,0,0,568,0
10,1,1,0,0,567,0
11,1,1,0,0,566,0
12,1,1,0,0,566,0
13,1,1,0,0,566,0
14,1,1,0,0,568,0
15,1,1,0,0,570,0
0,1,1,0,0,572,0
1,1,1,0,0,574,0
2,1,1,0,0,575,0
3,1,1,0,0,576,0
4,1,1,0,0,576,0
5,1,1,0,0,576,0
6,1,1,0,0,577,0
7,1,1,0,0,576,0
8,1,1,0,0,575,0
9,1,1,0,0,573,0
10,1,1,0,0,571,0
11,1,1,0,0,568,0
12,1,1,0,0,567,0
13,1,1,0,0,566,0
14,1,1,0,0,565,0
15,1,1,0,0,565,0
0,1,1,0,0,567,0
1,1,1,0,0,570,0
2,1,1,0,0,572,0
3,1,1,0,0,575,0
4,1,1,0,0,578,0
5,1,1,0,0,580,0
6,1,1,0,0,582,0
7,1,1,0,0,583,0
8,1,1,0,0,585,0
9,1,1,0,0,588,0
10,1,1,0,0,591,0
11,1,1,0,0,590,0
12,1,1,0,0,590,0
13,1,1,0,0,588,0
14,1,1,0,0,584,0
15,1,1,0,0,581,0
0,1,1,0,0,578,0
1,1,1,0,0,576,0
2,1,1,0,0,575,0
3,1,1,0,0,574,0
4,1,1,0,0,574,0
5,1,1,0,0,573,0
6,1,1,0,0,575,0
7,1,1,0,0,576,0
8,1,1,0,0,578,0
9,1,1,0,0,580,0
10,1,1,0,0,581,0
11,1,1,0,0,583,0
12,1,1,0,0,583,0
13,1,1,0,0,582,0
14,1,1,0,0,581,0
15,1,1,0,0,577,0
0,1,1,0,0,574,0
1,1,1,0,0,570,0
2,1,1,0,0,565,0
3,1,1,0,0,560,0
4,1,1,0,0,556,0
5,1,1,0,0,551,0
6,1,1,0,0,547,0
7,1,1,0,0,543,0
8,1,1,0,0,540,0
9,1,1,0,0,538,0
10,1,1,0,0,537,0
11,1,1,0,0,539,0
12,1,1,0,0,543,0
13,1,1,0,0,547,0
14,1,1,0,0,551,0
15,1,1,0,0,555,0
0,1,1,0,0,559,0
1,1,1,0,0,563,0
2,1,1,0,0,568,0
3,1,1,0,0,568,0
4,1,1,0,0,567,0
5,1,1,0,0,565,0
6,1,1,0,0,561,0
7,1,1,0,0,557,0
8,1,1,0,0,554,0
9,1,1,0,0,552,0
10,1,1,0,0,548,0
11,1,1,0,0,544,0
12,1,1,0,0,541,0
13,1,1,0,0,539,0
14,1,1,0,0,538,0
15,1,1,0,0,539,0
0,1,1,0,0,539,0
1,1,1,0,0,540,0
2,1,1,0,0,540,0
3,1,1,0,0,540,0
4,1,1,0,0,539,0
5,1,1,0,0,536,0
6,1,1,0,0,534,0
7,1,1,0,0,531,0
8,1,1,0,0,527,0
9,1,1,0,0,524,0
10,1,1,0,0,519,0
11,1,1,0,0,515,0
