0,1,2,3,4,5,6
0,1,1,0,0,435,0
1,1,1,0,0,434,0
2,1,1,0,0,433,0
3,1,1,0,0,432,0
4,1,1,0,0,430,0
5,1,1,0,0,430,0
6,1,1,0,0,430,0
7,1,1,0,0,432,0
8,1,1,0,0,437,0
9,1,1,0,0,444,0
10,1,1,0,0,453,0
11,1,1,0,0,464,0
12,1,1,0,0,478,0
13,1,1,0,0,491,0
14,1,1,0,0,504,0
15,1,1,0,0,518,0
0,1,1,0,0,530,0
1,1,1,0,0,541,0
2,1,1,0,0,553,0
3,1,1,0,0,572,0
4,1,1,0,0,595,0
5,1,1,0,0,618,0
6,1,1,0,0,643,0
7,1,1,0,0,668,0
8,1,1,0,0,697,0
9,1,1,0,0,726,0
10,1,1,0,0,752,0
11,1,1,0,0,771,0
12,1,1,0,0,785,0
13,1,1,0,0,794,0
14,1,1,0,0,800,0
15,1,1,0,0,800,0
0,1,1,0,0,799,0
1,1,1,0,0,800,0
2,1,1,0,0,800,0
3,1,1,0,0,799,0
4,1,1,0,0,793,0
5,1,1,0,0,784,0
6,1,1,0,0,773,0
7,1,1,0,0,760,0
8,1,1,0,0,745,0
9,1,1,0,0,728,0
10,1,1,0,0,711,0
11,1,1,0,0,693,0
12,1,1,0,0,673,0
13,1,1,0,0,652,0
14,1,1,0,0,628,0
15,1,1,0,0,605,0
0,1,1,0,0,581,0
1,1,1,0,0,560,0
2,1,1,0,0,543,0
3,1,1,0,0,528,0
4,1,1,0,0,515,0
5,1,1,0,0,502,0
6,1,1,0,0,490,0
7,1,1,0,0,480,0
8,1,1,0,0,472,0
9,1,1,0,0,467,0
10,1,1,0,0,462,0
11,1,1,0,0,458,0
12,1,1,0,0,456,0
13,1,1,0,0,455,0
14,1,1,0,0,456,0
15,1,1,0,0,457,0
0,1,1,0,0,457,0
1,1,1,0,0,458,0
2,1,1,0,0,459,0
3,1,1,0,0,459,0
4,1,1,0,0,458,0
5,1,1,0,0,457,0
6,1,1,0,0,457,0
7,1,1,0,0,455,0
8,1,1,0,0,455,0
9,1,1,0,0,455,0
10,1,1,0,0,455,0
11,1,1,0,0,456,0
12,1,1,0,0,457,0
13,1,1,0,0,458,0
14,1,1,0,0,459,0
15,1,1,0,0,459,0
0,1,1,0,0,460,0
1,1,1,0,0,461,0
2,1,1,0,0,462,0
3,1,1,0,0,463,0
4,1,1,0,0,463,0
5,1,1,0,0,463,0
6,1,1,0,0,464,0
7,1,1,0,0,463,0
8,1,1,0,0,463,0
9,1,1,0,0,462,0
10,1,1,0,0,462,0
11,1,1,0,0,461,0
12,1,1,0,0,460,0
13,1,1,0,0,459,0
14,1,1,0,0,458,0
15,1,1,0,0,459,0
0,1,1,0,0,460,0
1,1,1,0,0,461,0
2,1,1,0,0,462,0
3,1,1,0,0,462,0
4,1,1,0,0,463,0
5,1,1,0,0,463,0
6,1,1,0,0,464,0
7,1,1,0,0,465,0
8,1,1,0,0,465,0
9,1,1,0,0,465,0
10,1,1,0,0,464,0
11,1,1,0,0,464,0
12,1,1,0,0,464,0
13,1,1,0,0,464,0
14,1,1,0,0,464,0
15,1,1,0,0,463,0
0,1,1,0,0,463,0
1,1,1,0,0,463,0
2,1,1,0,0,463,0
3,1,1,0,0,464,0
4,1,1,0,0,465,0
5,1,1,0,0,466,0
6,1,1,0,0,467,0
7,1,1,0,0,466,0
8,1,1,0,0,466,0
9,1,1,0,0,466,0
10,1,1,0,0,467,0
11,1,1,0,0,467,0
12,1,1,0,0,468,0
13,1,1,0,0,468,0
14,1,1,0,0,467,0
15,1,1,0,0,467,0
0,1,1,0,0,466,0
1,1,1,0,0,466,0
2,1,1,0,0,467,0
3,1,1,0,0,465,0
4,1,1,0,0,465,0
5,1,1,0,0,465,0
6,1,1,0,0,465,0
7,1,1,0,0,466,0
8,1,1,0,0,467,0
9,1,1,0,0,468,0
10,1,1,0,0,469,0
11,1,1,0,0,469,0
12,1,1,0,0,470,0
13,1,1,0,0,470,0
14,1,1,0,0,472,0
15,1,1,0,0,473,0
0,1,1,0,0,473,0
1,1,1,0,0,473,0
2,1,1,0,0,473,0
3,1,1,0,0,472,0
4,1,1,0,0,472,0
5,1,1,0,0,472,0
6,1,1,0,0,472,0
7,1,1,0,0,471,0
8,1,1,0,0,471,0
9,1,1,0,0,470,0
10,1,1,0,0,471,0
11,1,1,0,0,471,0
12,1,1,0,0,472,0
13,1,1,0,0,472,0
14,1,1,0,0,473,0
15,1,1,0,0,474,0
0,1,1,0,0,474,0
1,1,1,0,0,474,0
2,1,1,0,0,476,0
3,1,1,0,0,477,0
4,1,1,0,0,477,0
5,1,1,0,0,477,0
6,1,1,0,0,477,0
7,1,1,0,0,476,0
8,1,1,0,0,475,0
9,1,1,0,0,475,0
10,1,1,0,0,475,0
11,1,1,0,0,475,0
12,1,1,0,0,475,0
13,1,1,0,0,474,0
14,1,1,0,0,474,0
15,1,1,0,0,474,0
0,1,1,0,0,475,0
1,1,1,0,0,476,0
2,1,1,0,0,476,0
3,1,1,0,0,477,0
4,1,1,0,0,478,0
5,1,1,0,0,479,0
6,1,1,0,0,480,0
7,1,1,0,0,480,0
8,1,1,0,0,480,0
9,1,1,0,0,480,0
10,1,1,0,0,480,0
11,1,1,0,0,479,0
