0,1,2,3,4,5,6
0,1,1,0,0,468,512
1,1,1,0,0,467,510
2,1,1,0,0,467,513
3,1,1,0,0,467,513
4,1,1,0,0,467,510
5,1,1,0,0,467,513
6,1,1,0,0,468,508
7,1,1,0,0,468,512
8,1,1,0,0,469,515
9,1,1,0,0,469,514
10,1,1,0,0,469,513
11,1,1,0,0,469,509
12,1,1,0,0,469,514
13,1,1,0,0,470,515
14,1,1,0,0,469,511
15,1,1,0,0,470,512
0,1,1,0,0,470,512
1,1,1,0,0,470,515
2,1,1,0,0,470,515
3,1,1,0,0,471,512
4,1,1,0,0,471,513
5,1,1,0,0,470,513
6,1,1,0,0,470,516
7,1,1,0,0,470,514
8,1,1,0,0,471,518
9,1,1,0,0,471,514
10,1,1,0,0,472,512
11,1,1,0,0,471,516
12,1,1,0,0,471,516
13,1,1,0,0,471,515
14,1,1,0,0,470,514
15,1,1,0,0,470,513
0,1,1,0,0,470,515
1,1,1,0,0,470,516
2,1,1,0,0,471,513
3,1,1,0,0,471,514
4,1,1,0,0,472,515
5,1,1,0,0,472,517
6,1,1,0,0,472,514
7,1,1,0,0,472,518
8,1,1,0,0,472,515
9,1,1,0,0,472,514
10,1,1,0,0,472,516
11,1,1,0,0,472,517
12,1,1,0,0,472,516
13,1,1,0,0,472,514
14,1,1,0,0,472,513
15,1,1,0,0,472,516
0,1,1,0,0,473,516
1,1,1,0,0,474,516
2,1,1,0,0,475,516
3,1,1,0,0,475,513
4,1,1,0,0,475,516
5,1,1,0,0,475,516
6,1,1,0,0,474,515
7,1,1,0,0,475,515
8,1,1,0,0,475,513
9,1,1,0,0,476,513
10,1,1,0,0,476,519
11,1,1,0,0,476,514
12,1,1,0,0,476,513
13,1,1,0,0,476,512
14,1,1,0,0,476,515
15,1,1,0,0,476,516
0,1,1,0,0,476,515
1,1,1,0,0,476,515
2,1,1,0,0,476,512
3,1,1,0,0,476,513
4,1,1,0,0,476,517
5,1,1,0,0,477,514
6,1,1,0,0,477,519
7,1,1,0,0,477,511
8,1,1,0,0,478,510
9,1,1,0,0,478,517
10,1,1,0,0,478,514
11,1,1,0,0,479,512
12,1,1,0,0,479,511
13,1,1,0,0,479,514
14,1,1,0,0,479,515
15,1,1,0,0,478,511
0,1,1,0,0,478,511
1,1,1,0,0,477,511
2,1,1,0,0,478,513
