0,1,2,3,4,5,6
0,1,1,0,0,500,515
1,1,1,0,0,499,516
2,1,1,0,0,500,517
3,1,1,0,0,501,517
4,1,1,0,0,502,519
5,1,1,0,0,503,516
6,1,1,0,0,504,517
7,1,1,0,0,505,516
8,1,1,0,0,506,518
9,1,1,0,0,506,518
10,1,1,0,0,507,517
11,1,1,0,0,506,519
12,1,1,0,0,506,518
13,1,1,0,0,506,518
14,1,1,0,0,505,520
15,1,1,0,0,505,517
0,1,1,0,0,504,518
1,1,1,0,0,504,518
2,1,1,0,0,504,519
3,1,1,0,0,502,520
4,1,1,0,0,502,518
5,1,1,0,0,502,518
6,1,1,0,0,501,522
7,1,1,0,0,500,519
8,1,1,0,0,500,519
9,1,1,0,0,499,516
10,1,1,0,0,499,519
11,1,1,0,0,499,518
12,1,1,0,0,499,517
13,1,1,0,0,499,519
14,1,1,0,0,499,516
15,1,1,0,0,499,517
0,1,1,0,0,499,517
1,1,1,0,0,499,518
2,1,1,0,0,499,519
3,1,1,0,0,500,516
4,1,1,0,0,499,518
5,1,1,0,0,499,518
6,1,1,0,0,497,518
7,1,1,0,0,497,519
8,1,1,0,0,497,515
9,1,1,0,0,497,518
10,1,1,0,0,498,517
11,1,1,0,0,499,515
12,1,1,0,0,500,517
13,1,1,0,0,500,515
14,1,1,0,0,502,515
15,1,1,0,0,503,514
0,1,1,0,0,503,517
1,1,1,0,0,504,518
2,1,1,0,0,504,515
3,1,1,0,0,505,515
4,1,1,0,0,506,516
5,1,1,0,0,508,516
6,1,1,0,0,509,516
7,1,1,0,0,509,514
8,1,1,0,0,510,517
9,1,1,0,0,511,515
10,1,1,0,0,512,514
11,1,1,0,0,513,515
12,1,1,0,0,515,512
13,1,1,0,0,515,513
14,1,1,0,0,515,513
15,1,1,0,0,516,514
0,1,1,0,0,516,515
1,1,1,0,0,517,512
2,1,1,0,0,518,513
3,1,1,0,0,518,513
4,1,1,0,0,518,514
5,1,1,0,0,518,515
6,1,1,0,0,518,512
7,1,1,0,0,518,514
8,1,1,0,0,518,510
9,1,1,0,0,518,514
10,1,1,0,0,518,511
11,1,1,0,0,518,512
12,1,1,0,0,519,511
13,1,1,0,0,519,512
14,1,1,0,0,519,512
15,1,1,0,0,519,513
0,1,1,0,0,519,511
1,1,1,0,0,519,511
2,1,1,0,0,519,511
3,1,1,0,0,519,512
4,1,1,0,0,519,512
5,1,1,0,0,518,510
6,1,1,0,0,518,512
7,1,1,0,0,519,511
8,1,1,0,0,518,510
9,1,1,0,0,518,510
10,1,1,0,0,519,508
11,1,1,0,0,518,510
12,1,1,0,0,518,508
13,1,1,0,0,517,509
14,1,1,0,0,516,509
15,1,1,0,0,516,507
0,1,1,0,0,515,508
1,1,1,0,0,515,508
2,1,1,0,0,514,509
3,1,1,0,0,514,508
4,1,1,0,0,513,508
5,1,1,0,0,513,508
6,1,1,0,0,513,508
7,1,1,0,0,513,509
8,1,1,0,0,513,510
9,1,1,0,0,513,507
10,1,1,0,0,512,510
11,1,1,0,0,512,508
12,1,1,0,0,512,506
13,1,1,0,0,511,508
14,1,1,0,0,511,505
15,1,1,0,0,511,506
0,1,1,0,0,510,507
1,1,1,0,0,509,507
2,1,1,0,0,508,509
3,1,1,0,0,508,507
4,1,1,0,0,508,507
5,1,1,0,0,508,507
6,1,1,0,0,508,507
7,1,1,0,0,508,508
8,1,1,0,0,507,504
9,1,1,0,0,507,508
10,1,1,0,0,506,506
11,1,1,0,0,506,505
12,1,1,0,0,505,504
13,1,1,0,0,505,507
14,1,1,0,0,504,505
15,1,1,0,0,500,505
0,1,1,0,0,496,506
1,1,1,0,0,490,507
2,1,1,0,0,483,504
3,1,1,0,0,477,505
4,1,1,0,0,471,505
5,1,1,0,0,465,506
6,1,1,0,0,459,505
7,1,1,0,0,451,504
8,1,1,0,0,444,507
9,1,1,0,0,436,505
10,1,1,0,0,428,504
11,1,1,0,0,419,505
12,1,1,0,0,411,503
13,1,1,0,0,403,503
14,1,1,0,0,396,505
15,1,1,0,0,387,503
0,1,1,0,0,380,500
1,1,1,0,0,371,502
2,1,1,0,0,363,503
3,1,1,0,0,357,503
4,1,1,0,0,353,503
5,1,1,0,0,351,503
6,1,1,0,0,349,500
7,1,1,0,0,349,500
8,1,1,0,0,350,503
9,1,1,0,0,351,503
